cd_id,updated,status,indexed_late
CD002996,Y,A,
CD002997,Y,A,
CD003002,Y,A,
CD003004,Y,A,
CD003007,Y,A,
CD003008,Y,A,
CD003012,Y,A,
CD003013,N,A,
CD003015,N,A,
CD003017,Y,A,
CD003019,Y,A,
CD003021,Y,A,
CD003022,N,A,
CD003024,N,A,
CD003026,Y,A,
CD003030,Y,A,
CD003034,Y,A,
CD003036,Y,A,
CD003037,Y,A,
CD003038,Y,A,
CD003042,Y,A,
CD003043,N,A,
CD003046,Y,A,
CD003049,Y,A,
CD003051,Y,A,
CD003052,N,A,
CD003059,Y,A,
CD003063,Y,A,
CD003064,N,A,
CD003065,N,A,
CD003069,Y,A,
CD003076,Y,A,
CD003078,Y,A,
CD003080,N,A,
CD003082,Y,A,
CD003083,Y,A,
CD003086,Y,A,
CD003087,Y,A,
CD003092,Y,A,
CD003093,Y,A,
CD003094,Y,A,
CD003096,N,A,
CD003097,Y,A,
CD003098,Y,A,
CD003099,Y,A,
CD003100,Y,A,
CD003101,Y,A,
CD003103,Y,A,
CD003106,Y,A,
CD003109,Y,A,
CD003120,Y,A,
CD003122,Y,A,
CD003125,Y,W,
CD003129,N,A,
CD003132,Y,A,
CD003133,Y,A,
CD003135,Y,A,
CD003144,N,A,
CD003146,Y,A,
CD003149,Y,A,
CD003152,Y,A,
CD003153,N,S,
CD003157,Y,A,
CD003159,N,A,
CD003160,Y,A,
CD003161,Y,A,
CD003162,Y,A,
CD003169,Y,A,
CD003170,Y,A,
CD003171,Y,A,
CD003172,Y,A,
CD003183,N,A,
CD003188,Y,A,
CD003189,Y,A,
CD003191,Y,A,
CD003195,Y,A,
CD003196,N,A,
CD003198,Y,A,
CD003201,Y,A,
CD003204,Y,A,
CD003205,Y,A,
CD003209,Y,W,
CD003211,Y,A,
CD003212,Y,A,
CD003213,Y,A,
CD003214,Y,A,
CD003217,Y,A,
CD003218,Y,A,
CD003221,Y,A,
CD003222,Y,A,
CD003224,Y,A,
CD003227,Y,A,
CD003230,Y,A,
CD003234,Y,A,
CD003240,Y,A,
CD003242,N,A,
CD003246,Y,A,
CD003250,Y,A,
CD003254,Y,A,
CD003255,N,S,
CD003264,Y,A,
CD003265,Y,A,
CD003266,Y,A,
CD003267,N,A,
CD003268,Y,A,
CD003271,N,A,
CD003274,N,A,
CD003282,Y,A,
CD003283,Y,A,
CD003285,Y,A,
CD003288,Y,A,
CD003310,N,A,
CD003313,N,A,
CD003318,Y,A,
CD003320,Y,A,
CD003323,Y,A,
CD003324,Y,A,
CD003325,Y,A,
CD003326,Y,A,
CD003328,Y,A,
CD003333,Y,A,
CD003335,Y,A,
CD003336,Y,A,
CD003338,Y,A,
CD003341,Y,A,
CD003343,Y,A,
CD003346,N,A,
CD003352,Y,A,
CD003353,Y,A,
CD003357,Y,A,
CD003375,N,A,
CD003376,Y,A,
CD003383,Y,A,
CD003385,N,A,
CD003391,Y,A,
CD003392,Y,A,
CD003393,Y,A,
CD003396,Y,A,
CD003397,Y,A,
CD003399,Y,A,
CD003403,N,A,
CD003404,N,A,
CD003409,Y,A,
CD003425,Y,A,
CD003426,Y,A,
CD003427,Y,A,
CD003430,N,A,
CD003434,Y,A,
CD003435,N,A,
CD003438,Y,A,
CD003441,Y,A,
CD003447,Y,A,
CD003455,Y,A,
CD003463,N,A,
CD003474,Y,A,
CD003483,Y,A,
CD003484,N,A,
CD003487,Y,A,
CD003490,Y,A,
CD003493,N,A,
CD003497,Y,A,
CD003504,N,A,
CD003506,N,A,
CD003510,Y,A,
CD003516,N,A,
CD003517,Y,A,
CD003523,N,A,
CD003524,Y,A,
CD003525,Y,A,
CD003527,N,A,
CD003528,N,A,
CD003530,N,A,
CD003533,N,A,
CD003534,Y,A,
CD003537,N,A,
CD003542,Y,A,
CD003544,Y,A,
CD003551,Y,A,
CD003556,Y,A,
CD003563,Y,A,
CD003566,Y,A,
CD003571,N,A,
CD003575,Y,A,
CD003584,N,A,
CD003586,Y,A,
CD003592,Y,W,Y
CD003602,Y,A,
CD003603,Y,A,
CD003604,N,A,
CD003617,N,A,
CD003632,Y,A,
CD003634,Y,A,
CD003636,Y,A,
CD003637,Y,A,
CD003640,Y,A,
CD003642,N,A,Y
CD003647,Y,A,
CD003648,Y,A,
CD003651,Y,A,
CD003671,Y,A,
CD003673,Y,S,
CD003676,Y,A,
CD003680,Y,A,
CD003682,Y,A,
CD003685,Y,A,
CD003686,N,A,
CD003687,N,A,
CD003688,Y,A,
CD003692,N,A,
CD003718,Y,A,
CD003727,Y,A,
CD003735,N,A,Y
CD003762,Y,A,
CD003781,Y,A,
CD003785,N,A,
CD003786,Y,A,
CD003787,N,A,
CD003788,Y,A,
CD003793,Y,A,
CD003795,Y,A,
CD003799,Y,A,
CD003804,Y,A,
CD003807,Y,A,
CD003815,Y,A,
CD003816,Y,A,
CD003831,Y,A,
CD003849,Y,A,Y
CD003851,N,A,
CD003861,Y,A,
CD003867,N,S,
CD003895,Y,A,
CD003900,Y,A,
CD003901,N,A,
CD003902,N,A,
CD003905,Y,A,
CD003911,Y,A,
CD003913,Y,A,
CD003933,Y,A,
CD003936,N,S,
CD003939,N,A,
CD003941,Y,A,
CD003944,Y,A,
CD004018,N,A,Y
CD004107,N,A,Y
CD004721,N,A,Y
